City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Coracao De Jesus,BR,-16.6853,-44.365,57.83,84,100,8.99,overcast clouds
80,Moose Factory,CA,51.2585,-80.6094,51.8,66,1,8.05,clear sky
81,Cape Town,ZA,-33.9258,18.4232,56.12,100,90,6.91,fog
82,Nhulunbuy,AU,-12.2333,136.7667,81.21,61,75,16.11,broken clouds
83,Avarua,CK,-21.2078,-159.775,73.45,83,90,1.14,overcast clouds
84,Codrington,AU,-38.2667,141.9667,56.14,68,79,4.23,broken clouds
85,Fairbanks,US,64.8378,-147.7164,61.09,85,90,3.44,light rain
86,Porgera,PG,-5.4667,143.2,48.52,98,100,2.46,overcast clouds
87,Butaritari,KI,3.0707,172.7902,82.83,64,1,10.42,clear sky
88,Araria,IN,26.15,87.5167,83.48,80,100,8.23,overcast clouds
89,Yingcheng,CN,30.95,113.55,95.05,61,100,3.24,overcast clouds
90,Grand Gaube,MU,-20.0064,57.6608,71.38,81,61,4.0,broken clouds
91,Albany,US,42.6001,-73.9662,69.8,92,100,1.23,overcast clouds
92,Bethel,US,41.3712,-73.414,73.51,87,100,4.29,light rain
93,Pozo Colorado,PY,-23.4923,-58.7972,68.11,40,4,6.71,clear sky
94,Tuatapere,NZ,-46.1333,167.6833,37.81,90,96,1.52,overcast clouds
95,Guerrero Negro,MX,27.9769,-114.0611,70.45,85,22,12.48,few clouds
96,Norman Wells,CA,65.282,-126.8329,44.64,81,75,2.3,broken clouds
97,Pacifica,US,37.6138,-122.4869,67.98,92,20,1.99,few clouds
98,Iqaluit,CA,63.7506,-68.5145,44.33,87,75,18.41,broken clouds
99,Saskylakh,RU,71.9167,114.0833,72.19,39,100,11.99,overcast clouds
100,Cherskiy,RU,68.75,161.3,66.0,37,72,6.35,broken clouds
101,Ponta Do Sol,PT,32.6667,-17.1,73.0,82,58,4.9,broken clouds
102,Boende,CD,-0.2167,20.8667,74.1,81,100,2.89,overcast clouds
103,Nishihara,JP,26.1842,127.7558,85.66,89,75,24.16,light rain
104,Danilovka,RU,50.3557,44.1168,88.23,20,100,16.49,overcast clouds
105,Pinas,EC,-3.6667,-79.65,62.62,91,59,1.07,broken clouds
106,Dunedin,NZ,-45.8742,170.5036,45.81,60,53,1.01,broken clouds
107,Alofi,NU,-19.0595,-169.9187,73.29,68,52,6.91,broken clouds
108,Damietta,EG,31.4165,31.8133,84.67,55,0,8.48,clear sky
109,Hamilton,US,39.1834,-84.5333,72.88,85,40,5.75,scattered clouds
110,Songadh,IN,21.1667,73.5667,88.23,61,82,10.11,broken clouds
111,Ayan,RU,56.45,138.1667,58.44,63,8,11.23,clear sky
112,Tigil,RU,57.8,158.6667,54.43,71,29,13.85,scattered clouds
113,Basco,PH,20.4487,121.9702,83.88,87,99,24.11,moderate rain
114,Smidovich,RU,48.6,133.8167,51.84,96,100,21.07,overcast clouds
115,Tamandare,BR,-8.7597,-35.1047,73.09,76,100,11.9,overcast clouds
116,Yellowknife,CA,62.456,-114.3525,52.32,54,75,12.66,broken clouds
117,Kutum,SD,14.2,24.6667,68.67,86,99,2.89,overcast clouds
118,Padang,ID,-0.9492,100.3543,87.85,73,68,6.06,broken clouds
119,Znamenskoye,RU,57.1281,73.8282,74.66,65,97,6.53,overcast clouds
120,Shakiso,ET,5.75,38.9167,70.93,53,60,4.72,broken clouds
121,Storslett,NO,69.7678,21.0247,67.64,54,62,9.78,broken clouds
122,Campbellton,CA,48.0075,-66.6727,63.05,96,58,4.52,broken clouds
123,Vestmannaeyjar,IS,63.4427,-20.2734,55.2,83,100,4.76,overcast clouds
124,Hambantota,LK,6.1241,81.1185,88.14,74,75,19.57,broken clouds
125,Geraldton,AU,-28.7667,114.6,72.01,73,40,18.41,scattered clouds
126,Loandjili,CG,-4.7561,11.8578,69.91,100,20,3.44,mist
127,Kaitangata,NZ,-46.2817,169.8464,38.52,68,95,5.44,overcast clouds
128,Tual,ID,-5.6667,132.75,80.37,79,100,21.41,overcast clouds
129,Atikokan,CA,48.7555,-91.6216,51.73,84,99,4.79,overcast clouds
130,Sorland,NO,67.667,12.6934,57.15,75,6,15.97,clear sky
131,Port Alfred,ZA,-33.5906,26.891,67.91,31,28,8.72,scattered clouds
132,Garissa,KE,-0.4536,39.6401,81.52,49,83,20.67,broken clouds
133,San Patricio,US,28.017,-97.5169,85.86,77,0,14.92,clear sky
134,Canon City,US,38.441,-105.2424,73.38,43,1,6.91,clear sky
135,Hithadhoo,MV,-0.6,73.0833,82.54,69,100,3.13,overcast clouds
136,Monze,ZM,-16.2833,27.4833,68.63,41,0,10.49,clear sky
137,Rio Cuarto,AR,-33.1307,-64.3499,43.83,50,55,10.29,broken clouds
138,Marystown,CA,47.1666,-55.1483,63.55,98,100,10.29,overcast clouds
139,Waipawa,NZ,-41.4122,175.5153,43.43,97,100,27.38,light rain
140,Smithers,CA,54.7804,-127.1743,57.52,72,1,2.3,clear sky
141,Waddan,LY,29.1614,16.139,87.39,31,0,6.53,clear sky
142,Beringovskiy,RU,63.05,179.3167,43.88,86,100,24.38,light rain
143,Airai,TL,-8.9266,125.4092,71.67,46,55,2.86,broken clouds
144,Vostok,RU,46.4856,135.8833,54.01,96,100,6.24,overcast clouds
145,Thompson,CA,55.7435,-97.8558,62.76,100,90,6.91,mist
146,Plettenberg Bay,ZA,-34.0527,23.3716,59.58,45,77,5.88,broken clouds
